epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,948.261,1.00703,1.2799,0.01277,0.87682,0.61826,0.71904,0.54987,1.03511,1.26993,0.01617,0.0014588,0.0014588,0.0014588
43,970.632,1.00844,1.29376,0.01276,0.84804,0.64869,0.74404,0.59356,0.92295,1.16865,0.0142,0.0014456,0.0014456,0.0014456
44,993.065,1.00976,1.22934,0.01272,0.84471,0.65975,0.74203,0.57834,0.98175,1.16548,0.01504,0.0014324,0.0014324,0.0014324
45,1015.47,1.01033,1.23887,0.01271,0.81855,0.61549,0.70052,0.54067,1.02734,1.28053,0.01646,0.0014192,0.0014192,0.0014192
46,1037.87,0.99997,1.23787,0.01285,0.92533,0.63624,0.766,0.6046,0.94278,1.11764,0.0143,0.001406,0.001406,0.001406
47,1060.32,0.98325,1.22226,0.01248,0.89431,0.67773,0.77644,0.61926,0.91817,1.04151,0.01395,0.0013928,0.0013928,0.0013928
48,1082.76,0.97174,1.22025,0.01209,0.82864,0.6971,0.75724,0.59901,0.934,1.12723,0.01422,0.0013796,0.0013796,0.0013796
49,1105.13,0.97414,1.22071,0.01233,0.86524,0.6838,0.76586,0.60947,0.90746,1.09952,0.01365,0.0013664,0.0013664,0.0013664
50,1127.53,0.96236,1.20426,0.01205,0.82234,0.68326,0.75712,0.5964,0.9288,1.15434,0.01379,0.0013532,0.0013532,0.0013532
51,1149.86,0.96493,1.17148,0.01215,0.90676,0.68604,0.77678,0.61297,0.93112,1.07665,0.01432,0.00134,0.00134,0.00134
52,1172.22,0.96749,1.19985,0.01217,0.82382,0.65698,0.74787,0.58427,0.94335,1.13171,0.01424,0.0013268,0.0013268,0.0013268
53,1194.6,0.94936,1.16651,0.01193,0.89739,0.66805,0.7696,0.62023,0.86597,1.0522,0.01287,0.0013136,0.0013136,0.0013136
54,1217.05,0.9392,1.18011,0.01164,0.85114,0.67222,0.76408,0.60553,0.90011,1.11102,0.01405,0.0013004,0.0013004,0.0013004
55,1239.45,0.94253,1.18424,0.01181,0.86635,0.68741,0.77277,0.62134,0.88637,1.05684,0.01341,0.0012872,0.0012872,0.0012872
56,1261.94,0.93077,1.15644,0.0114,0.82532,0.67497,0.7545,0.60086,0.88819,1.10805,0.01342,0.001274,0.001274,0.001274
57,1284.33,0.93036,1.14228,0.01144,0.84546,0.68603,0.77138,0.62044,0.8894,1.05096,0.01312,0.0012608,0.0012608,0.0012608
58,1306.76,0.94761,1.13613,0.01187,0.87824,0.68603,0.76926,0.61535,0.90983,1.08463,0.01352,0.0012476,0.0012476,0.0012476
59,1329.28,0.9276,1.14444,0.01158,0.88698,0.69472,0.78324,0.6313,0.88239,1.02466,0.01341,0.0012344,0.0012344,0.0012344
60,1351.76,0.93864,1.13536,0.01189,0.88257,0.7069,0.7868,0.6352,0.87148,0.98989,0.01287,0.0012212,0.0012212,0.0012212
61,1374.29,0.9234,1.12635,0.0114,0.88566,0.69571,0.7829,0.62832,0.84962,1.04115,0.01263,0.001208,0.001208,0.001208
62,1396.74,0.91567,1.13261,0.01149,0.85226,0.72061,0.78877,0.64069,0.85085,0.97124,0.0125,0.0011948,0.0011948,0.0011948
63,1419.26,0.90679,1.12223,0.011,0.87809,0.70124,0.78665,0.63504,0.87219,0.99472,0.01315,0.0011816,0.0011816,0.0011816
64,1441.7,0.89829,1.1001,0.01107,0.87196,0.70645,0.7865,0.62284,0.89581,1.05006,0.01341,0.0011684,0.0011684,0.0011684
65,1464.13,0.91403,1.14468,0.01105,0.85618,0.71646,0.78834,0.63878,0.84607,0.98409,0.01235,0.0011552,0.0011552,0.0011552
66,1486.59,0.89383,1.10856,0.01094,0.87808,0.70124,0.77947,0.63032,0.85682,0.98048,0.01281,0.001142,0.001142,0.001142
67,1509,0.90247,1.10482,0.01112,0.90328,0.69295,0.78929,0.64517,0.83007,0.9363,0.01206,0.0011288,0.0011288,0.0011288
68,1531.48,0.9104,1.10653,0.01144,0.88562,0.69433,0.7815,0.63927,0.84984,1.00313,0.0123,0.0011156,0.0011156,0.0011156
69,1553.89,0.88899,1.09926,0.01106,0.88608,0.69156,0.77407,0.62631,0.86502,1.06466,0.01265,0.0011024,0.0011024,0.0011024
70,1576.33,0.88327,1.06091,0.01104,0.90032,0.69956,0.78046,0.62745,0.85286,1.00436,0.01242,0.0010892,0.0010892,0.0010892
71,1598.77,0.88947,1.07042,0.01106,0.90189,0.68603,0.78592,0.64053,0.84101,0.98137,0.01209,0.001076,0.001076,0.001076
72,1621.18,0.87725,1.04972,0.01089,0.8599,0.72157,0.78115,0.63433,0.85873,0.98207,0.01251,0.0010628,0.0010628,0.0010628
73,1643.64,0.87,1.04537,0.01073,0.8831,0.72096,0.79181,0.64824,0.81758,0.93175,0.01166,0.0010496,0.0010496,0.0010496
74,1666.18,0.87042,1.04572,0.01079,0.88646,0.70539,0.79348,0.65112,0.80318,0.97355,0.01176,0.0010364,0.0010364,0.0010364
75,1688.71,0.8612,1.04161,0.01052,0.85418,0.73582,0.79816,0.66179,0.77892,0.95654,0.01093,0.0010232,0.0010232,0.0010232
76,1711.17,0.86851,1.04289,0.01053,0.88182,0.71231,0.80246,0.65106,0.80529,0.9501,0.0116,0.00101,0.00101,0.00101
77,1733.54,0.87611,1.04266,0.01073,0.91402,0.69018,0.80051,0.64689,0.82688,0.96119,0.01158,0.0009968,0.0009968,0.0009968
78,1756.02,0.86305,1.02156,0.01045,0.8934,0.71231,0.79717,0.64909,0.82821,0.95384,0.01188,0.0009836,0.0009836,0.0009836
79,1778.48,0.86192,1.02195,0.01056,0.90873,0.6748,0.78141,0.63813,0.83897,0.96733,0.01225,0.0009704,0.0009704,0.0009704
80,1800.96,0.84069,1.0043,0.01025,0.90553,0.68937,0.7831,0.64481,0.83242,0.9607,0.01201,0.0009572,0.0009572,0.0009572
81,1823.42,0.83472,1.00599,0.01019,0.8602,0.72199,0.79337,0.65167,0.81216,0.9871,0.01175,0.000944,0.000944,0.000944
82,1845.77,0.83621,0.99518,0.0102,0.87414,0.72061,0.80135,0.65381,0.79792,0.95132,0.01126,0.0009308,0.0009308,0.0009308
83,1868.18,0.83264,0.99115,0.00983,0.90605,0.70697,0.7938,0.65744,0.76805,0.94578,0.0111,0.0009176,0.0009176,0.0009176
84,1890.56,0.8203,0.97565,0.00998,0.89424,0.69848,0.79507,0.65868,0.78319,0.93803,0.01131,0.0009044,0.0009044,0.0009044
85,1912.93,0.82323,0.98053,0.01007,0.88537,0.71923,0.79899,0.65762,0.79326,0.91243,0.01154,0.0008912,0.0008912,0.0008912
86,1935.28,0.82906,1.00078,0.01003,0.89811,0.70712,0.80049,0.66853,0.77199,0.93,0.01093,0.000878,0.000878,0.000878
87,1958.06,0.82594,0.98531,0.0101,0.88896,0.70871,0.79776,0.66949,0.78584,0.9028,0.01124,0.0008648,0.0008648,0.0008648
88,1980.6,0.82526,0.97567,0.01003,0.90421,0.69848,0.8024,0.66668,0.77966,0.91346,0.01111,0.0008516,0.0008516,0.0008516
89,2003.33,0.81439,0.94691,0.00998,0.8757,0.70539,0.78375,0.64726,0.82797,0.96229,0.01228,0.0008384,0.0008384,0.0008384
90,2025.73,0.81514,1.00083,0.01006,0.86714,0.72218,0.79382,0.6593,0.77644,0.93439,0.01099,0.0008252,0.0008252,0.0008252
91,2048.55,0.79567,0.95298,0.00962,0.90362,0.6971,0.79286,0.66112,0.76866,0.9482,0.01103,0.000812,0.000812,0.000812
92,2071.18,0.79316,0.93247,0.00965,0.9044,0.7066,0.79549,0.66139,0.7582,0.96203,0.01072,0.0007988,0.0007988,0.0007988
93,2094.01,0.79346,0.94813,0.0095,0.9047,0.70904,0.80143,0.66051,0.78409,0.94522,0.01121,0.0007856,0.0007856,0.0007856
94,2116.98,0.78363,0.92041,0.00949,0.88495,0.72337,0.79884,0.66531,0.78914,0.93942,0.01128,0.0007724,0.0007724,0.0007724
95,2139.75,0.78552,0.93582,0.00958,0.90676,0.71292,0.79873,0.66651,0.78015,0.94566,0.0111,0.0007592,0.0007592,0.0007592
96,2162.83,0.79544,0.9435,0.00964,0.88825,0.72199,0.80377,0.67526,0.7476,0.90619,0.0104,0.000746,0.000746,0.000746
97,2186.35,0.79101,0.92925,0.00947,0.85021,0.73859,0.80157,0.65994,0.77326,0.95227,0.01087,0.0007328,0.0007328,0.0007328
98,2209.81,0.78443,0.91861,0.00944,0.91088,0.70954,0.80241,0.66913,0.7708,0.9267,0.011,0.0007196,0.0007196,0.0007196
99,2233.17,0.79469,0.90606,0.00963,0.91185,0.70263,0.80841,0.66729,0.77464,0.92803,0.01092,0.0007064,0.0007064,0.0007064
100,2255.86,0.79256,0.92439,0.00951,0.88485,0.73859,0.81042,0.67646,0.76481,0.92043,0.01066,0.0006932,0.0006932,0.0006932
101,2278.54,0.78234,0.90647,0.00969,0.90953,0.72304,0.80877,0.67453,0.77916,0.88971,0.01102,0.00068,0.00068,0.00068
102,2301.22,0.76301,0.89128,0.00925,0.91608,0.71508,0.81017,0.68176,0.75737,0.86307,0.01061,0.0006668,0.0006668,0.0006668
103,2324.15,0.76485,0.88175,0.0091,0.90127,0.74274,0.81086,0.68129,0.75143,0.8604,0.01042,0.0006536,0.0006536,0.0006536
